Gene name
Kcnk10
Lrrc26
Kcnq5
Kcnq1
Tmem38a
Kcnc2
Grik3
Pkd2
Snap25
Kcnh6
Kcnb1
Kcnk12
Kcnh8
Kcng1
Kcnj9
Kcnj10
Kcne2
Kcne1
Kcnk15
Kcnj16
Kcns1
Kcnj2
Kcnmb4
Kcnk2
Kcnip3
Kcng3
Kcnj6
Kcnj3
Kcnj15
Kcnh5
Kcnv2
Kcne4
Kcnh3
Kcnk3
Kcna1
Kcna5
Hcn2
Trpm5
Kcna4
Kcna6
Kcnj4
Kcnt2
Kcnn2
Kcnq2
Cnga2
Kcnn1
Kcnj12
Hcn4
Kcng4
Kcnh2
Kcnip4
Kcnt1
Kcnn3
Kcnq3
Kcnmb1
Kcnip1
Kcns3
Lrrc38
Kcnk5
Kcnk16
Kcnab1
Kcnb2
Kcnq4
Grik2
Kcnv1
Kcnk9
Tmem175
Kcnk13
Hcn1
Fxyd4
Kcnma1
Kcnk4
Kcnmb2
Kcns2
Kcnj5
Kcnj1
Grik4
Kcnmb3
Kcng2
Kcnd1
Kcnk7
Kcna3
Kcnab2
Kcna2
Kcna7
Kcna10
Kcnk6
Kcnn4
Ccdc51
Tmem38b
Kcnh1
Kcnc4
Kcnj8
Grik5
Abcc8
Kcnj14
Abcc9
Kcnf1
Lrrc55
Aqp1
Kcnh4
Kcne3
Kcnk18
Kcnd3
Lrrc52
Kcnc3
Hcn3
Kcnh7
Kcnip2
Kcnc1
Kcnk1
Kcnj11
Kcne1l
Pkd2l1
Kcnj13
Kcnab3
Kcnd2
