Gene name
Htr1f
Htr2a
Chrna5
Chrna3
Chrna4
Chrnb4
Grin2a
Gria2
Glra4
Htr2b
Gria4
Glrb
Grm5
Hrh3
Htr3a
Drd3
Chrna2
Htr3b
Htr2c
Htr1b
Ptk2b
Gabre
Tspo
Gabra3
Glra2
Grin3b
Htr1a
Olfr919
Gabbr2
Gabbr1
Grik4
Chrne
Gabrd
Chrnb2
Chrna10
Grik3
Grin2c
Olfr16
Grid2
Olfr683
Htr4
Chrna7
Olfr684
Adrb1
Chrnd
Chrng
Htr5a
Grid1
Chrna1
Glra1
Gabrg1
Drd5
Grik2
Gabra2
Grin2b
Olfr55
Olfr239
Olfr1564
Gabrb1
Olfr63
Gabra4
Gabrg3
Hrh1
Gria1
Gabrb3
Gabra5
Htr6
Chrm4
Chrm5
Drd4
Drd2
Hrh4
Glra3
Olfr472
Olfr473
Olfr474
Gpr156
Olfr479
Htr7
Drd1
Chrna9
Hrh2
Grin2d
Gabrr2
Chrnb3
Gabrr1
Chrna6
Olfr509
Gabrg2
Olfr746
Olfr747
Olfr748
Olfr749
Olfr275
Olfr150
Chrm1
Olfr1093
Olfr1094
Olfr1101
Olfr1102
Gabra1
Oprm1
Grm1
Gabra6
Anxa9
Htr1d
Chrm2
Gabrb2
Gria3
Adora1
Htr5b
Chrm3
Grin1
Grik1
Grik5
Chrnb1
Grin3a
