Gene name
Htr6
Htr1f
Htr4
Htr5b
Drd4
Htr2b
Hrh3
Chrm4
Olfr1093
Olfr1094
Olfr55
Olfr1102
Olfr239
Olfr1564
Olfr16
Olfr63
Chrm5
Htr7
Olfr746
Olfr747
Htr2a
Olfr748
Olfr749
Olfr472
Olfr473
Olfr474
Olfr479
Chrm1
Olfr509
Hrh1
Hrh4
Chrm2
Htr1a
Htr1b
Htr5a
Htr1d
Htr2c
Chrm3
Hrh2
